title,price,brand,type,years,milage,location,vehicle_type,url
CARI BELI HONDA BEAT FI Street 2018 / 2019 DAN TAHUN LAINNYA 2017,13000000.0,honda,beat,2021.0,5.000-10.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/di-cari-beat-fi-cbs-iss-deluxe-street-2020-2021-dan-tahun-2022-iid-864891909
FOR SALE HONDA BEAT TAHUN 2017,11950000.0,honda,beat,2019.0,10.000-15.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/cari-beli-honda-beat-fi-street-2018-2019-dan-tahun-lainnya-2017-iid-852466834
honda beat deluxe th.2021 warna hitam,16950000.0,honda,beat,2020.0,10.000-15.000,"Koja, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-deluxe-hitam-iid-867096198
Honda Beat led th 2021 cbs ISS,16450000.0,honda,beat,2021.0,0-5.000,"Kalideres, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-cbs-2021-km-96-kilo-iid-866878289
HONDA BEAT FI ESP 2015 pajak panjang/B.bekasi kota,10300000.0,honda,beat,2015.0,60.000-65.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-fi-2015-mesin-halus-tidak-pernah-telat-service-bulanan-iid-867401902
"Honda Beat, 2021",17000000.0,honda,beat,2021.0,5.000-10.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2021-kredit-ktp-daerah-bisa-di-bantu-iid-867401785
honda beat fi th.2020,14950000.0,honda,beat,2020.0,5.000-10.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2020-pajak-aman-surat-lengkap-iid-867401742
Beat 2021 Kredit 1hari proses langsung bawa pulang,15400000.0,honda,beat,2019.0,5.000-10.000,"Ciracas, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2019-kredit-1hari-proses-langsung-bawa-pulang-iid-867401705
Kredit mokas beat 2018 second like new DP cuma 800rb an,13000000.0,honda,beat,2018.0,5.000-10.000,"Cipayung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/kredit-murah-beat-2018-second-like-new-iid-867401678
dijual cepat motor honda beat fi th.2021 cash/credit,16950000.0,honda,beat,2021.0,5.000-10.000,"Ciracas, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/proses-mudah-langsung-gas-beat-2021-cash-credit-iid-867400300
Honda Beat 2021 mulus cash kredit,15500000.0,honda,beat,2021.0,5.000-10.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dp-murah-langsung-gas-beat-2021-cash-credit-iid-867400128
Honda Beat 2021 mulus bisa kredit,15500000.0,honda,beat,2021.0,5.000-10.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dp-paling-murah-sejabodetabek-beat-2021-cash-credit-iid-867400026
(( SIAP KIRIM GAPERLU INDEN DP 3JT‼️)) NEW HONDA BEAT STREET TH 2020 !,16800000.0,honda,beat,2022.0,0-5.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/gaperlu-inden-siap-kirim-bro-new-honda-beat-street-th-2022-bro-iid-867398351
Jual Honda beat 2014 Hitam murah.,7900000.0,honda,beat,2017.0,10.000-15.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2017-lengkap-pjk-hidup-iid-867398300
Honda Beat ECO 2019,13400000.0,honda,beat,2019.0,10.000-15.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-eco-tahun-2019-pemakai-beli-dari-baru-iid-867398297
"(( FLASH SALE PROMO DP 2,8JT‼️)) NEW HONDA VARIO 125 CBS TH 2018 BRO !",17800000.0,honda,beat,2021.0,0-5.000,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/super-mewah-promo-dp-38jt-only-all-new-beat-deluxe-th-2021-bro-iid-867398126
Dijual honda beat cbs iss tahun 2018 pajak off 2x,12500000.0,honda,beat,2018.0,25.000-30.000,"Tambora, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2018-pajak-panjang-iid-867397878
