title,price,brand,type,years,milage,location,vehicle_type,url,transmission,fuel
toyota avanza,140000000.0,toyota,avanza,2017.0,45.000-50.000,"Ocean Park BSD City Unit K16 - K18, Jl. Pahlawan Seribu, Lengkong Gudang, Kecamatan Serpong, Tanggerang Selatan, Banten",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-2017-13-e-bensin-at-silver-power-auto-iid-866991714,Automatic,Bensin
toyota avanza,101000000.0,toyota,avanza,2011.0,152904,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-mt-2011-iid-865348504,Manual,Bensin
toyota avanza,252000000.0,toyota,avanza,2022.0,0-5.000,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mobil-baru-toyota-avanza-veloz-15-tdp-20jt-an-angsuran-5jt-an-iid-865802601,Manual,Bensin
toyota avanza,153000000.0,toyota,avanza,2017.0,31772,"Jl. Joglo Raya No.28, RT.10/RW.3, Joglo, Kecamatan Kembangan, Jakarta Barat, DKI Jakarta",car,https://www.olx.co.id/item/km-rendah-toyota-avanza-2017-13-g-mt-hitam-tokomobil-iid-865113405,Manual,Bensin
toyota avanza,139000000.0,toyota,avanza,2017.0,90.000-95.000,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, Carsworld Building, BSD, Banten",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-mt-2017-abu-abu-iid-867026190,Manual,Bensin
toyota avanza,140000000.0,toyota,avanza,2017.0,85.000-90.000,"Jl. Kosambi Dalam No.48, RT.1/RW.2, Jatipulo, 11430, Palmerah, Kecamatan Palmerah, Jakarta Barat, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-2017-13-g-mt-bensin-merah-arjuna-tomang-iid-866062802,Manual,Bensin
toyota avanza,165000000.0,toyota,avanza,2016.0,75.000-80.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-avanza-veloz-15-at-matic-2016-siap-pakai-iid-867442995,Automatic,Bensin
toyota avanza,114000000.0,toyota,avanza,2012.0,135.000-140.000,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866061568,Automatic,Bensin
Veloz Bensin,110000000.0,,,1.0,,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-avanza-2013-bensin-iid-867442571,,
toyota avanza,125000000.0,toyota,avanza,2012.0,50.000-55.000,"Menteng, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-15-veloz-mt-2012-hitam-iid-867021162,Manual,Diesel
toyota avanza,145000000.0,toyota,avanza,2018.0,60.000-65.000,"Menteng, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-e-mt-2018-hitam-iid-867022158,Manual,Bensin
toyota avanza,120000000.0,toyota,avanza,2012.0,145.000-150.000,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-15-veloz-at-2012-putih-iid-867022825,Automatic,Bensin
toyota avanza,143000000.0,toyota,avanza,2015.0,60.000-65.000,"Tanah Abang, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-15-veloz-bensin-at-2015-hitam-iid-867282263,Automatic,Bensin
toyota avanza,327500000.0,toyota,avanza,2022.0,0-5.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-avanza-veloz-q-tss-at-2022-dp-cicilan-oklok-jagakarsa-jaksel-iid-865510222,Automatic,Bensin
toyota avanza,327500000.0,toyota,avanza,2022.0,0-5.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-avanza-veloz-q-tss-atdp-cicilan-murahlok-jagakarsa-jaksel-iid-865510114,Automatic,Bensin
toyota avanza,327500000.0,toyota,avanza,2022.0,0-5.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-avanza-veloz-q-tss-at-2022-atdp-cicilan-oklok-jagakarsa-jasel-iid-865510024,Automatic,Bensin
toyota avanza,150000000.0,toyota,avanza,2018.0,80.000-85.000,"Jl. Kosambi Dalam No.48, RT.1/RW.2, Jatipulo, 11430, Palmerah, Kecamatan Palmerah, Jakarta Barat, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-2018-13-g-at-bensin-hitam-arjuna-tomang-iid-866241039,Automatic,Bensin
toyota avanza,327500000.0,toyota,avanza,2022.0,0-5.000,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-avanza-veloz-q-tss-2022-atdp-cicilan-murahlok-jagakarsa-js-iid-865509914,Automatic,Bensin
toyota avanza,140000000.0,toyota,avanza,2017.0,85.000-90.000,"Jl. Kosambi Dalam No.48, RT.1/RW.2, Jatipulo, 11430, Palmerah, Kecamatan Palmerah, Jakarta Barat, DKI Jakarta",car,https://www.olx.co.id/item/olxautos-toyota-avanza-2017-13-g-mt-bensin-merah-arjuna-tomang-iid-866043509,Manual,Bensin
toyota avanza,119000000.0,toyota,avanza,2012.0,80.000-85.000,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-mt-2012-iid-866474689,Manual,Bensin
toyota avanza,139000000.0,toyota,avanza,2017.0,90.000-95.000,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, BSD, Banten",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-mt-2017-abu-abu-iid-867017461,Manual,Bensin
toyota avanza,145000000.0,toyota,avanza,2018.0,60.000-65.000,"Jl. Raden Saleh No.25, RT.5/RW.1, Meruya Utara, Kecamatan Kembangan, Jakarta Barat, DKI Jakarta",car,https://www.olx.co.id/item/olxautos-toyota-avanza-13-e-mt-2018-hitam-iid-867020111,Manual,Bensin
toyota avanza,160000000.0,toyota,avanza,2017.0,35.000-40.000,"Jl Cempaka Putih Tengah II No 16 Cempaka Putih, Cempaka Putih, Kecamatan Cempaka Putih, Jakarta Pusat, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2017-silver-iid-866876155,Automatic,Bensin
toyota avanza,148000000.0,toyota,avanza,2016.0,45.000-50.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-avanza-veloz-15-at-2016-km50rb-fulloriginal-sepertibaru-istw-iid-866800386,Automatic,Bensin
toyota avanza,119000000.0,toyota,avanza,2012.0,80.000-85.000,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-mt-2012-iid-866474689,Manual,Bensin
toyota avanza,150000000.0,toyota,avanza,2018.0,80.000-85.000,"Jl. Kosambi Dalam No.48, RT.1/RW.2, Jatipulo, 11430, Palmerah, Kecamatan Palmerah, Jakarta Barat, DKI Jakarta",car,https://www.olx.co.id/item/olxautos-toyota-avanza-2018-13-g-at-bensin-hitam-arjuna-tomang-iid-866240863,Automatic,Bensin
G Bensin,140000000.0,,,1.0,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/vip-dealer-toyota-avanza-g-automatic-2015-iid-866598138,,
toyota avanza,140000000.0,toyota,avanza,2017.0,10.000-15.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/avanza-e-at-2017-iid-867439806,Automatic,Bensin
Veloz Bensin,137000000.0,,,1.0,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-avanza-2012-bensin-iid-867439545,,
E Bensin,124000000.0,,,1.0,,"Kalideres, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/avanza-13-type-e-merah-at-2017-barong-iid-867439186,,
G Bensin,122000000.0,,,1.0,,"Tanjung Priok, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/avanza-tipe-g-manual-iid-867439011,,
G Bensin,123000000.0,,,1.0,,"Cakung, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/dijual-toyota-avanza-g-13-bensin-manual-2012-iid-867438934,,
G Bensin,96500000.0,,,1.0,,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/avanza-tipe-g-13-at-2011-iid-867438532,,
toyota avanza,129000000.0,toyota,avanza,2015.0,128266,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-mt-2015-iid-864574702,Manual,Bensin
toyota avanza,130000000.0,toyota,avanza,2015.0,120.000-125.000,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2015-iid-865951422,Automatic,Bensin
toyota avanza,114000000.0,toyota,avanza,2012.0,135.000-140.000,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI Jakarta",car,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866055861,Automatic,Bensin
