title,price,brand,type,transmission,milage,fuel,location,url
toyota avanza (2021),Rp 242.000.000,toyota,1.5 G Bensin,Otomatis,10000 Km,Bensin,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2014),Rp 111.000.000,toyota,1.3 E Bensin,Manual,40.000-45.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16421, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2010),Rp 95.000.000,toyota,1.5 S Bensin,Automatic,150.000-155.000 Km,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2012),Rp 120.000.000,toyota,1.5 Veloz Bensin,Automatic,160.000-165.000 Km,Bensin,"Tanah Abang, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2013),Rp 120.000.000,toyota,1.3 G Bensin,,,,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2013),Rp 125.000.000,toyota,1.5 Veloz Bensin,Automatic,85.000-90.000 Km,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2017),Rp 153.000.000,toyota,1.3 G Bensin,Otomatis,50000 Km,Bensin,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2018),Rp 156.000.000,toyota,1.3 G Bensin,,,,"Penjaringan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
,Rp 225.000.000,toyota,1.5 New Veloz Bensin,,,,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2012),Rp 109.000.000,toyota,1.3 G Bensin,Manual,90.000-95.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16421, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2015),Rp 132.000.000,toyota,1.3 G Bensin,Manual,45.000-50.000 Km,Bensin,"Makasar, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
,,toyota,,,,,,https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2022),Rp 274.000.000,toyota,1.5 G TSS Bensin,Otomatis,10000 Km,Bensin,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2011),Rp 90.000.000,toyota,1.3 G Bensin,,,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2017),Rp 148.000.000,toyota,1.3 G Bensin,,,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2009),Rp 98.500.000,toyota,1.5 S Bensin,,,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
,,toyota,,,,,,https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2007),Rp 92.500.000,toyota,1.3 G Bensin,,,,"Cipayung, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2013),Rp 105.000.000,toyota,1.3 G Bensin,,,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2016),Rp 132.000.000,toyota,1.3 G Bensin,Manual,120.000-125.000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
,,toyota,,,,,,https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2022),Rp 240.100.000,toyota,1.5 G Bensin,Automatic,0-5.000 Km,Bensin,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2013),Rp 105.000.000,toyota,1.3 E Bensin,Automatic,80.000-85.000 Km,Bensin,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2007),Rp 86.000.000,toyota,1.3 S Bensin,Manual,175.000-180.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16422, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2017),Rp 140.000.000,toyota,1.3 G Bensin,Automatic,105.000-110.000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2021),Rp 285.000.000,toyota,1.3 G Bensin,,,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2013),Rp 123.000.000,toyota,1.3 G Bensin,Manual,100.000-105.000 Km,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, Carsworld Building, BSD, BantenDapatkan petunjuk",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2015),Rp 135.000.000,toyota,1.3 G Bensin,Manual,138238 Km,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, Carsworld Building, BSD, BantenDapatkan petunjuk",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
