years,type,price_median,price_mean,price_min,price_max,index,pct_ch
2021,vario-150,22575000.0,22200411.51851852,17000000,24300000,1.0,
2020,vario-150,20000000.0,20250264.330645163,8900000,24500000,0.8859357696566998,-0.08784283959090744
2019,vario-150,19700000.0,19587955.407894738,14750000,24500000,0.8726467331118494,-0.03270618654335977
2018,vario-150,18500000.0,18365690.06626506,12500000,23999000,0.8194905869324474,-0.062398821938151605
2017,vario-150,16450000.0,16141633.316666666,12000000,20000000,0.7286821705426356,-0.12109845813436892
2016,vario-150,15225000.0,15523195.475609757,12500000,19200000,0.6744186046511628,-0.03831321334863658
2021,vario-125,20900000.0,20606493.975903615,16500000,23800000,1.0,
2020,vario-125,19000000.0,19045653.52,15000000,22800000,0.9090909090909091,-0.07574507617495718
2019,vario-125,17850000.0,17665330.70866142,11950000,24300000,0.854066985645933,-0.07247442624581468
2018,vario-125,16800000.0,16733625.195121951,9500000,22300000,0.8038277511961722,-0.05274203630292895
2017,vario-125,14950000.0,14981019.444444444,10500000,19800000,0.715311004784689,-0.10473556866735678
2016,vario-125,13950000.0,14048137.25490196,10000000,20555000,0.6674641148325359,-0.06227094177415493
2021,scoopy,20800000.0,20813494.593952484,5500000,23500000,1.0,
2020,scoopy,20000000.0,19215769.230769232,4250000,23200000,0.9615384615384616,-0.07676391660089044
2019,scoopy,18500000.0,18708899.217054263,14500000,22700000,0.8894230769230769,-0.02637781540919759
2018,scoopy,17725000.0,17447291.53846154,12000000,21500000,0.8521634615384616,-0.0674335600377115
2017,scoopy,15500000.0,15694211.538461538,11500000,19800000,0.7451923076923077,-0.10047863280873359
2016,scoopy,13800000.0,13806012.359550562,9100000,20000000,0.6634615384615384,-0.12031182160910714
2021,mio,14700000.0,14432466.019417476,11300000,16700000,1.0,
2020,mio,12500000.0,12969230.76923077,8300000,16750000,0.8503401360544217,-0.10138497802233282
2019,mio,11950000.0,11557142.857142856,8500000,14950000,0.8129251700680272,-0.10887985087273355
2018,mio,10300000.0,10070754.716981132,6500000,13300000,0.7006802721088435,-0.12861207640459915
2017,mio,8600000.0,8618333.333333334,5900000,11000000,0.5850340136054422,-0.14422170179547222
2016,mio,7800550.0,8245642.0,4400000,12800000,0.5306496598639456,-0.04324401469735073
2021,beat,16900000.0,16923762.414893616,12000000,20500000,1.0,
2020,beat,15950000.0,15862937.5,12300000,20200000,0.9437869822485208,-0.06268256956621221
2019,beat,14500000.0,14454098.70232558,7800000,18750000,0.8579881656804734,-0.08881323510695416
2018,beat,13900000.0,13759590.740932643,7500000,18200000,0.8224852071005917,-0.0480492056748717
2017,beat,12500000.0,12376253.535353536,5000000,17000000,0.7396449704142012,-0.10053621736465568
2016,beat,11425000.0,11309713.037037037,7000000,17000000,0.6760355029585798,-0.08617636147076813
