title,price,brand,type,years,milage,location,vehicle_type,url,milage_class
Yamaha mio gear 125cc bluecore hijau tosca 2022,17770000,yamaha,mio,2021,15.000-20.000,"Kalasan, Sleman Kab., Yogyakarta D.I.",bike,https://www.olx.co.id/item/dijual-motor-yamaha-mio-m3-tahun-2021-terawat-iid-867263075,4
YAMAHA MIO GEAR 125CC TAHUN 2021 PAJAK HIDUP PANJANG,14950000,yamaha,mio,2021,15.000-20.000,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-iid-866848555,4
Yamaha Mio Gear 125 2021,11500000,yamaha,mio,2021,15.000-20.000,"Mojogedang, Karanganyar Kab., Jawa Tengah",bike,https://www.olx.co.id/item/yamaha-mio-gear-125-2021-iid-849449691,4
Yamaha Mio Gear 125 FI 2021 Kilometer 1.800.,16000000,yamaha,mio,2021,10.000-15.000,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/free-service-1-th-dp-900k-yamaha-mio-gear-125-th-2021-iid-867132538,3
"KREDIT YAMAHA MIO GEAR 2021 DP 3,000,000 PROSES CEPAT",15450000,yamaha,mio,2021,10.000-15.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/kredit-dp-3000000-yamaha-mio-gear-2021-istimewa-iid-867124767,3
"KREDIT DP 3,000,000 YAMAHA MIO GEAR 2021 ISTIMEWA",15450000,yamaha,mio,2021,10.000-15.000,"Cipayung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/kredit-yamaha-mio-gear-2021-dp-3000000-proses-cepat-iid-867124261,3
YAMAHA Mio GEAR 125 BLUECORE FI 2021/ 2022 ( Gress/terawat),15250000,yamaha,mio,2021,10.000-15.000,"Larangan, Tangerang Kota, Banten",bike,https://www.olx.co.id/item/jual-mio-gear-125-thn-2021-iid-866119500,3
(GRESS UNIT) DP 900 RB YAMAHA MIO GEAR TH 2021,14700000,yamaha,mio,2021,10.000-15.000,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dp-cuma-900-rb-aja-yamaha-mio-gear-th-2021-iid-866959287,3
DP 900K YAMAHA MIO GEAR 125 CC TH 2021,14700000,yamaha,mio,2021,10.000-15.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/low-km-dp-900k-yamaha-mio-gear-125-cc-th-2021-iid-866573934,3
DP 900K YAMAHA MIO GEAR 125 CC TH 2021,14700000,yamaha,mio,2021,10.000-15.000,"Cimanggis, Depok Kota, Jawa Barat",bike,https://www.olx.co.id/item/dp-murah-cuma-900k-yamaha-mio-gear-125-th-2021-iid-867315332,3
CUMA DISINI DP 900K YAMAHA MIO GEAR 125 CC TH 2021,14700000,yamaha,mio,2021,10.000-15.000,"Bogor Utara - Kota, Bogor Kota, Jawa Barat",bike,https://www.olx.co.id/item/dp-murah-cuma-900k-yamaha-mio-gear-th-2021-iid-866854152,3
DP CUMA 900K YAMAHA MIO GEAR 125 TH 2021,14700000,yamaha,mio,2021,10.000-15.000,"Beji, Depok Kota, Jawa Barat",bike,https://www.olx.co.id/item/cuma-disini-dp-900k-yamaha-mio-gear-125-th-2019-iid-866853976,3
YAMAHA MIO GEAR THN 2021,14500000,yamaha,mio,2021,10.000-15.000,"Karang Tengah, Tangerang Kota, Banten",bike,https://www.olx.co.id/item/yamaha-mio-gear-th-2021-dp-15-iid-867052295,3
Yamaha mio GEAR  2021,14300000,yamaha,mio,2021,10.000-15.000,"Cipayung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dp-murah-cuma-900-rb-yamaha-mio-gear-th-2021-iid-867210668,3
dp 1.3 yamaha mio gear 125 s tahun 2021 cash dan kredit,14300000,yamaha,mio,2021,10.000-15.000,"Bogor Selatan - Kota, Bogor Kota, Jawa Barat",bike,https://www.olx.co.id/item/angsuran-ringan-yamaha-mio-gear-125-th-2021-iid-867134843,3
Vario 125 2017 mulus bisa cash kredit,14000000,yamaha,mio,2021,10.000-15.000,"Babelan, Bekasi Kab., Jawa Barat",bike,https://www.olx.co.id/item/gress-unit-dp-900k-yamaha-mio-gear-125-tahun-2021-iid-867316094,3
PLT T krawang Yamaha Mio GEAR 125 th 2021,13300000,yamaha,mio,2021,10.000-15.000,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-866966157,3
#MIO GEAR cw bluecore pmb 22 (L),16700000,yamaha,mio,2021,5.000-10.000,"Sambikerep, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-okee-iid-867354648,2
Mio gear cw bluecore •2021 mewahh,16700000,yamaha,mio,2021,5.000-10.000,"Mulyorejo, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-mewahh-iid-867178908,2
"Mio gear cw bluecore #2021, siap angkutt,",16700000,yamaha,mio,2021,5.000-10.000,"Lakarsantri, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-siap-angkutt-iid-867137082,2
^MIO GEAR CW BLUECORE pmb 22 (L) super mulus,16700000,yamaha,mio,2021,5.000-10.000,"Dukuh Pakis, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-pmb-22-l-nice-ciamik-iid-867110518,2
—MIO GEAR CW BLUECORE pmb 22 (L) nice ciamik,16700000,yamaha,mio,2021,5.000-10.000,"Wonokromo, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-l-ciamik-okeee-iid-866945095,2
—MIO GEAR CW BLUECORE pmb 22 (L) nice ciamik,16700000,yamaha,mio,2021,5.000-10.000,"Tandes, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-pmb-22-l-iid-866837467,2
Mio GEAR 125 CW 2021 L #Mantul,16700000,yamaha,mio,2021,5.000-10.000,"Lakarsantri, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-125-cw-2021-l-mantul-iid-866822720,2
2021 pmb 22 MIO GEAR CW BLUECORE (L) hitamsilver apikk sip,16700000,yamaha,mio,2021,5.000-10.000,"Rungkut, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/2021-mio-gear-cw-bluecore-l-abutua-ciamik-iid-866767623,2
2021 MIO GEAR CW BLUECORE (L) abutua ciamik,16500000,yamaha,mio,2021,5.000-10.000,"Rungkut, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-wow-iid-867299208,2
Mio gear cw bluecore 2021 (L) istimewa mulus,16500000,yamaha,mio,2021,5.000-10.000,"Bubutan, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-l-abutua-iid-866837659,2
Yamaha Mio Gear 125 FI 2021 Kilometer 1.800.,16000000,yamaha,mio,2021,5.000-10.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-super-murah-tahun-2021-iid-867166864,2
MIO GEAR 125cc like new,16000000,yamaha,mio,2021,5.000-10.000,"Sedati, Sidoarjo  Kab., Jawa Timur",bike,https://www.olx.co.id/item/l-mio-gear-cw-bluecore-pmb-22-istimewa-iid-866986212,2
YAMAHA MIO GEAR Fi 125cc.2021.BARU REYEN.KM RENDAH MULUS..PROMO MURAH,15900000,yamaha,mio,2021,5.000-10.000,"Klojen, Malang Kota, Jawa Timur",bike,https://www.olx.co.id/item/yamaha-mio-gear-fi-125cc2021km-rendah9ooomsh-reyenpromo-murah-iid-866707701,2
YAMAHA MIO GEAR Fi 125cc.2021.KM RENDAH.9ooo..MSH REYEN..PROMO MURAH,15900000,yamaha,mio,2021,5.000-10.000,"Lowokwaru, Malang Kota, Jawa Timur",bike,https://www.olx.co.id/item/yamaha-mio-gear-fi-125cc2021baru-reyenkm-rendah-muluspromo-murah-iid-866667184,2
•MIO GEAR CW BLUECORE hijautua 2021 (P banyuwangi),15800000,yamaha,mio,2021,5.000-10.000,"Kebomas, Gresik Kab., Jawa Timur",bike,https://www.olx.co.id/item/lmio-gear-cw-bluecore-abutua-ciamik-top-iid-867367461,2
Mio gear cw bluecore ~2021 joss,15800000,yamaha,mio,2021,5.000-10.000,"Tanggulangin, Sidoarjo  Kab., Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-abutua-2021-l-iid-867295084,2
YAMAHA MIO M3 125 TAHN 2021,15800000,yamaha,mio,2021,5.000-10.000,"Asemrowo, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/yamaha-mio-m3-125-2021-iid-867116184,2
—MIO GEAR CW BLUECORE (P Banyuwangi) mulus bagus,15800000,yamaha,mio,2021,5.000-10.000,"Sidoarjo, Sidoarjo  Kab., Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-l-barang-idaman-iid-867110806,2
Mio gear cw bluecore (2021) mewahh,15800000,yamaha,mio,2021,5.000-10.000,"Gununganyar, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-mewahh-iid-866921153,2
``MIO GEAR CW BLUECORE (P banyuwangi) hijautua 2021,15800000,yamaha,mio,2021,5.000-10.000,"Simokerto, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-l-istimewa-mulus-iid-866689296,2
Yamaha Mio Gear Low Km,15800000,yamaha,mio,2021,5.000-10.000,"Magetan, Magetan Kab., Jawa Timur",bike,https://www.olx.co.id/item/yamaha-mio-gear-low-km-iid-866508437,2
Beat 2021 Kredit 1hari proses langsung bawa pulang,15600000,yamaha,mio,2021,5.000-10.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-2021-kredit-1hari-proses-langsung-bawa-pulang-iid-867401630,2
"YAMAHA MIO GEAR 2021 B BEKASI DP 3,000,000",15450000,yamaha,mio,2021,5.000-10.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-866966067,2
"KREDIT YAMAHA MIO GEAR 2021 DP 3,000,000 PROSES CEPAT",15450000,yamaha,mio,2021,5.000-10.000,"Jati Sampurna, Bekasi Kota, Jawa Barat",bike,https://www.olx.co.id/item/yamaha-mio-gear-125cc-pajak-hidup-panjang-iid-867142111,2
"YAMAHA MIO GEAR 2021 B BEKASI DP 3,000,000",15450000,yamaha,mio,2021,5.000-10.000,"Pondok Gede, Bekasi Kota, Jawa Barat",bike,https://www.olx.co.id/item/yamaha-mio-gear-tahun-2021-b-bekasi-kota-iid-867142057,2
YAMAHA Mio GEAR 125 BLUECORE FI 2021/ 2022 ( Gress/terawat),15250000,yamaha,mio,2021,5.000-10.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-866963967,2
"SSS system, yamaha mio gear S 125 LED 2021 bln 11 pajak panjang plat T",15250000,yamaha,mio,2021,5.000-10.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-125-s-aks-sss-led-fi-2021-bln-7-b-dki-mulus-gress-iid-866880672,2
DP MURAH * BEAT HONDA 2021 * RUMAH KONTRAK BISA CREDIT * PAJAK ON,15000000,yamaha,mio,2021,5.000-10.000,"Sukamakmur, Bogor Kab., Jawa Barat",bike,https://www.olx.co.id/item/kualitas-terbaik-cash-credit-mio-gear-tahun-2021-cash-credit-iid-866976084,2
NEW YAMAHA MIO GEAR 2021,14800000,yamaha,mio,2021,5.000-10.000,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-km-lowes-tahun-2021-iid-866420961,2
PJK 12/2022 NEW MIO GEAR 2021 MASIH SEPERTI BARU MULUS DI CILEDUG,14750000,yamaha,mio,2021,5.000-10.000,"Taman Sari, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-866964250,2
PJK 12/2022 NEW MIO GEAR 2021 MASIH SEPERTI BARU MULUS DI CILEDUG,14750000,yamaha,mio,2021,5.000-10.000,"Palmerah, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-866964203,2
PJK 12/2022 NEW MIO GEAR 2021 MASIH SEPERTI BARU MULUS DI CILEDUG,14750000,yamaha,mio,2021,5.000-10.000,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-866963757,2
PJK 12/22 NEW MIO GEAR 2021 MASIH SEPERTI BARU MULUS DI CILEDUG,14750000,yamaha,mio,2021,5.000-10.000,"Cibodas, Tangerang Kota, Banten",bike,https://www.olx.co.id/item/mio-gear-the-2021-dp-15-iid-867051890,2
PJK 12/22 NEW MIO GEAR 2021 MASIH SEPERTI BARU MULUS DI CILEDUG,14750000,yamaha,mio,2021,5.000-10.000,"Karang Tengah, Tangerang Kota, Banten",bike,https://www.olx.co.id/item/pjk-1222-new-mio-gear-2021-masih-seperti-baru-mulus-di-ciledug-iid-866996962,2
(LOW KM) DP 900K YAMAHA MIO GEAR 125 CC TH 2021,14700000,yamaha,mio,2021,5.000-10.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-125-thun-2021-low-klmtr-8rb-bisa-tt-beat-soul-spacy-iid-859986044,2
DP 900K YAMAHA MIO GEAR 125 CC TH 2021,14700000,yamaha,mio,2021,5.000-10.000,"Cibinong, Bogor Kab., Jawa Barat",bike,https://www.olx.co.id/item/syarat-kk-dan-ktp-dp-900k-yamaha-mio-gear-th-2021-iid-867315721,2
YAMAHA MIO GEAR DP 1000 AN TAHUN 2021,14500000,yamaha,mio,2021,5.000-10.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-dp-1000-aja-tahun-2021-iid-867348184,2
YAMAHA MIO GEAR THN 2021,14500000,yamaha,mio,2021,5.000-10.000,"Kalideres, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-dp-1000an-tahun-2021-iid-867060852,2
JUAL MIO GEAR 125 THN 2021,14500000,yamaha,mio,2021,5.000-10.000,"Kembangan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-866964142,2
JUAL MIO GEAR 125 THN 2021,14500000,yamaha,mio,2021,5.000-10.000,"Ciledug, Tangerang Kota, Banten",bike,https://www.olx.co.id/item/kredit-mio-gear-125-tahun-2021-dp-12jt-iid-866809797,2
PJK 04/2023 NEW MIO GEAR 2021 MASIH SEPERTI BARU MULUS DI CILEDUG,14250000,yamaha,mio,2021,5.000-10.000,"Ciputat, Tangerang Selatan Kota, Banten",bike,https://www.olx.co.id/item/pjk-042023-new-mio-gear-2021-masih-seperti-baru-mulus-di-ciledug-iid-862535411,2
Yamaha Mio Gear FI 125 Bluecore 2021,14200000,yamaha,mio,2021,5.000-10.000,"Kalideres, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-866963858,2
Yamaha Mio Gear FI 125 Bluecore 2021,14200000,yamaha,mio,2021,5.000-10.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-th-2021-iid-866963517,2
Yamaha Mio Gear FI 125 Bluecore 2021,14200000,yamaha,mio,2021,5.000-10.000,"Batuceper, Tangerang Kota, Banten",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-867051751,2
"Yamaha mio m3 2021 bln 9, b dki, tangan pertama, gress like new",14000000,yamaha,mio,2021,5.000-10.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-m3-2021-iid-867380938,2
"Mio gear ,tahun 2021 kodya",13800000,yamaha,mio,2021,5.000-10.000,"Antapani (Cicadas), Bandung Kota, Jawa Barat",bike,https://www.olx.co.id/item/mio-gear-th-2021-sangat-terawat-dan-istimewa-iid-867085491,2
dp 1.4 yamaha mio gear 125 fi tahun 2021 cash dan kredit,13800000,yamaha,mio,2021,5.000-10.000,"Bogor Timur - Kota, Bogor Kota, Jawa Barat",bike,https://www.olx.co.id/item/dp-14-yamaha-mio-gear-125-s-iss-tahun-2021-cash-dan-kredit-iid-863097109,2
Yamaha Mio Gear 2021,13600000,yamaha,mio,2021,5.000-10.000,"Cipayung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-866965987,2
PLT T krawang Yamaha Mio GEAR 125 th 2021,13300000,yamaha,mio,2021,5.000-10.000,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dp-kredit-3000000-yamaha-mio-gear-2021-b-bekasi-iid-867124419,2
PLT T krawang Yamaha Mio GEAR 125 th 2021,13300000,yamaha,mio,2021,5.000-10.000,"Makasar, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-866966231,2
PLT T krawang Yamaha Mio GEAR 125 th 2021,13300000,yamaha,mio,2021,5.000-10.000,"Ciracas, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gear-th-2021-iid-866966026,2
PLT T krawang Yamaha Mio GEAR 125 th 2021,13300000,yamaha,mio,2021,5.000-10.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/free-servis-dan-bergaransicashkredit-yamaha-mio-gear-125-th-2021-iid-866745640,2
Mio GEAR 125cc th 2021 nopol T krawang Purwakarta,12999000,yamaha,mio,2021,5.000-10.000,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/plt-t-krawang-yamaha-mio-gear-125-th-2021-iid-867221189,2
Pantau Motor Mio M3 Tahun 2019 Plat L Cash &amp; Kredit,12800000,yamaha,mio,2021,5.000-10.000,"Jambangan, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/low-kkm-yamaha-mio-m3-125-th-2021-iid-867125708,2
[GARANSI MESIN 1 TAHUN]Cash/Kredit Yamaha Mio Gear 125 Th 2021 SILVER,12700000,yamaha,mio,2021,5.000-10.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/garansi-mesin-1-tahuncashkredit-yamaha-mio-gear-125-tahun-2021-iid-866745761,2
[FREE SERVIS DAN BERGARANSI]Cash/Kredit Yamaha Mio Gear 125 Th 2021,12700000,yamaha,mio,2021,5.000-10.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/garansi-mesin-1-tahuncashkredit-yamaha-mio-gear-125-th-2021-silver-iid-866745499,2
[GRATIS SERVIS DAN SPAREPART]Cash/Kredit Yamaha Mio Gear 125 Th 2021,12700000,yamaha,mio,2021,5.000-10.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/gratis-sparepart-dan-serviscashkredit-yamaha-mio-gear-125-th-2021-iid-866745349,2
[FREE SERVIS SEPUASNYA]Cash/Kredit Yamaha Mio Gear 125 Tahun 2021,12700000,yamaha,mio,2021,5.000-10.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/gratis-servis-sepuasnyacashkredit-yamaha-mio-gear-125-2021-silver-iid-866745210,2
[GRATIS SPAREPART DAN SERVIS]Cash/Kredit Yamaha Mio Gear 125 Th 2021,12700000,yamaha,mio,2021,5.000-10.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/gratis-servis-dan-sparepartcashkredit-yamaha-mio-gear-125-th-2021-iid-866744124,2
[FREE SPAREPART DAN SERVIS]Cash/Kredit Yamaha Mio Gear 125 Tahun 2021,12700000,yamaha,mio,2021,5.000-10.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/free-servis-sepuasnyacashkredit-yamaha-mio-gear-125-tahun-2021-iid-866743937,2
"Mio gear cw bluecore #2021, siap angkutt,",16700000,yamaha,mio,2021,0-5.000,"Dukuh Pakis, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-siap-gass-iid-866678102,1
《L》MIO GEAR CW BLUECORE abutua ciamik top,16500000,yamaha,mio,2021,0-5.000,"Gresik, Gresik Kab., Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-hijautua-2021-p-banyuwangi-iid-867280933,1
Mio gear cw bluecore •2021 mewahh,16500000,yamaha,mio,2021,0-5.000,"Mulyorejo, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-mewahh-iid-867195290,1
"Mio gear cw bluecore #2021 siap angkutt,",16500000,yamaha,mio,2021,0-5.000,"Lakarsantri, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-siap-angkutt-iid-867136819,1
—MIO GEAR CW BLUECORE (L) barang idaman,16500000,yamaha,mio,2021,0-5.000,"Sidoarjo, Sidoarjo  Kab., Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-p-banyuwangi-mulus-bagus-iid-867104188,1
^MIO GEAR CW BLUECORE (L) ciamik okeee,16500000,yamaha,mio,2021,0-5.000,"Karangpilang, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-wapik-iid-867012685,1
Mio gear cw bluecore (2021) mewahh,16500000,yamaha,mio,2021,0-5.000,"Gununganyar, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-mewahh-iid-866927732,1
2021 MIO GEAR CW BLUECORE (L) abutua ciamik,16500000,yamaha,mio,2021,0-5.000,"Gununganyar, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-mewah-iid-866921955,1
Mio GEAR 125 CW 2021 L #Mantul,16500000,yamaha,mio,2021,0-5.000,"Lakarsantri, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-125-cw-2021-l-mantul-iid-866830282,1
^MIO GEAR CW BLUECORE (L) ciamik okeee,16500000,yamaha,mio,2021,0-5.000,"Genteng, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-tersediaa-iid-866745494,1
^MIO GEAR CW BLUECORE (L) ciamik okeee,16500000,yamaha,mio,2021,0-5.000,"Gayungan, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-tersediaa-iid-866736728,1
Mio gear cw bluecore 2021 (L) istimewa mulus,16500000,yamaha,mio,2021,0-5.000,"Kenjeran, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-p-banyuwangi-hijautua-2021-iid-866577205,1
Mio gear cw bluecore -2021- OKEE,16500000,yamaha,mio,2021,0-5.000,"Asemrowo, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/mio-gear-cw-bluecore-2021-readyy-iid-866573085,1
MIO GEAR 125cc like new,16000000,yamaha,mio,2021,0-5.000,"Gununganyar, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/low-km-yamaha-mio-m3-125-thn-2021-iid-867125612,1
MIO GEAR 125cc like new,16000000,yamaha,mio,2021,0-5.000,"Rungkut, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/like-new-mio-m3-tahun-2021-iid-866571280,1
YAMAHA MIO M3 125 THN 2021,15800000,yamaha,mio,2021,0-5.000,"Mulyorejo, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/yamaha-mio-m3-125-th-2021-superr-muluss-iid-867367019,1
YAMAHA MIO M3 125 2021 - Super mulus,15800000,yamaha,mio,2021,0-5.000,"Lakarsantri, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/yamaha-mio-m3-125-thn-2021-superr-muluss-iid-867366943,1
YAMAHA MIO M3 125 TAHN 2021,15800000,yamaha,mio,2021,0-5.000,"Krembangan, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/yamaha-mio-125-tahn-2021-superr-mulus-iid-867366803,1
LOOW KM - YAMAHA MIO M3 125 TAHUN 2021,15800000,yamaha,mio,2021,0-5.000,"Kenjeran, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/yaamaha-mio-m3-125-tahun-2021-super-mulus-iid-867366483,1
LOW KKM -YAMAHA MIO M3 125 TH 2021,15800000,yamaha,mio,2021,0-5.000,"Karangpilang, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/yamaha-mio-m3-125-2021-super-mulus-iid-867366404,1
YAMAHA MIO M3 125 2021 - Super mulus,15800000,yamaha,mio,2021,0-5.000,"Taman, Sidoarjo  Kab., Jawa Timur",bike,https://www.olx.co.id/item/new-yamaha-mio-geat-125cc-km-5rb-thn-2021-l-iid-867172301,1
YAMAHA MIO M3 125 TAHN 2021,15800000,yamaha,mio,2021,0-5.000,"Gubeng, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/looowww-km-yamaha-mio-m3-125-tahn-2021-iid-867125427,1
LOOOWWW KM - YAMAHA MIO M3 125 TAHN 2021,15800000,yamaha,mio,2021,0-5.000,"Genteng, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/loow-km-yamaha-mio-m3-125-tahun-2021-iid-867125321,1
LOW KKM -YAMAHA MIO M3 125 TH 2021,15800000,yamaha,mio,2021,0-5.000,"Gayungan, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/low-km-yamaha-mio-m3-125-2021-iid-867125229,1
LOW KKM -YAMAHA MIO M3 125 TH 2021,15800000,yamaha,mio,2021,0-5.000,"Dukuh Pakis, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/yamaha-mio-m3-125-th-2021-iid-867125143,1
YAMAHA MIO M3 125 TH 2021 - Superr muluss,15800000,yamaha,mio,2021,0-5.000,"Bulak, Surabaya Kota, Jawa Timur",bike,https://www.olx.co.id/item/yamaha-mio-m3-125-thn-2021-iid-867124863,1
