title,price,brand,years,type,milage,location,milage_class
Mio GEAR 125 CW 2021 L #Mantul,16700000,yamaha,2021,mio,5.000-10.000,"Lakarsantri, Surabaya Kota, Jawa Timur",2
2021 pmb 22 MIO GEAR CW BLUECORE (L) hitamsilver apikk sip,16700000,yamaha,2021,mio,5.000-10.000,"Rungkut, Surabaya Kota, Jawa Timur",2
2021 MIO GEAR CW BLUECORE (L) abutua ciamik,16500000,yamaha,2021,mio,5.000-10.000,"Rungkut, Surabaya Kota, Jawa Timur",2
YAMAHA MIO GEAR Fi 125cc.2021.BARU REYEN.KM RENDAH MULUS..PROMO MURAH,15900000,yamaha,2021,mio,5.000-10.000,"Klojen, Malang Kota, Jawa Timur",2
YAMAHA MIO GEAR Fi 125cc.2021.KM RENDAH.9ooo..MSH REYEN..PROMO MURAH,15900000,yamaha,2021,mio,5.000-10.000,"Lowokwaru, Malang Kota, Jawa Timur",2
``MIO GEAR CW BLUECORE (P banyuwangi) hijautua 2021,15800000,yamaha,2021,mio,5.000-10.000,"Simokerto, Surabaya Kota, Jawa Timur",2
ALLNEW YAMAHA MIO GEAR BLUE CORE 125 CC THN 2021(P banyuwagi),15800000,yamaha,2021,mio,5.000-10.000,"Driyorejo, Gresik Kab., Jawa Timur",2
Mio Gear  2021 pajak panjang,15000000,yamaha,2021,mio,5.000-10.000,"Pondok Gede, Bekasi Kota, Jawa Barat",2
YAMAHA MIO GEAR TAHUN 2021 BEKASI KOTA PAJAK HIDUP PANJANG,14950000,yamaha,2021,mio,5.000-10.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",2
YAMAHA MIO GEAR TAHUN 2021 BEKASI KOTA,14950000,yamaha,2021,mio,5.000-10.000,"Makasar, Jakarta Timur, Jakarta D.K.I.",2
YAMAHA MIO GEAR TAHUN 2021 PAJAK HIDUP PANJANG BEKASI KOTA,14950000,yamaha,2021,mio,5.000-10.000,"Ciracas, Jakarta Timur, Jakarta D.K.I.",2
NEW YAMAHA MIO GEAR 2021,14800000,yamaha,2021,mio,5.000-10.000,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",2
Yamaha Mio Gear Tahun 2021. (Tangan pertama dari baru),14700000,yamaha,2021,mio,5.000-10.000,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",2
DP 900K YAMAHA MIO GEAR TH 2021,14700000,yamaha,2021,mio,5.000-10.000,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",2
ANGSURAN RINGAN DP 900K YAMAHA MIO GEAR TH 2021,14700000,yamaha,2021,mio,5.000-10.000,"Johar Baru, Jakarta Pusat, Jakarta D.K.I.",2
DP CUMA 900 RB YAMAHA MIO GEAR 125 TH 2021,14700000,yamaha,2021,mio,5.000-10.000,"Cimanggis, Depok Kota, Jawa Barat",2
CUMA DISINI DP 900K YAMAHA MIO GEAR 125 CC TH 2021,14700000,yamaha,2021,mio,5.000-10.000,"Bogor Utara - Kota, Bogor Kota, Jawa Barat",2
