title,price,brand,type,years,milage,location,vehicle_type,url,milage_class
toyota yaris,264000000,toyota,yaris,2021,20.000-25.000,"Candi, Sidoarjo  Kab., Jawa Timur",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2021-merah-iid-865254273,5
toyota yaris,264000000,toyota,yaris,2021,20.000-25.000,"Sambikerep, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2021-merah-iid-865194824,5
toyota yaris,264000000,toyota,yaris,2021,20.000-25.000,"Krian, Sidoarjo  Kab., Jawa Timur",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2021-merah-iid-865194528,5
toyota yaris,264000000,toyota,yaris,2021,20.000-25.000,"Porong, Sidoarjo  Kab., Jawa Timur",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2021-merah-iid-865194244,5
toyota yaris,264000000,toyota,yaris,2021,20.000-25.000,"Tarik, Sidoarjo  Kab., Jawa Timur",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2021-merah-iid-866852578,5
toyota yaris,264000000,toyota,yaris,2021,20.000-25.000,"JL. Raya Jemursari No.87, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-trd-sportivo-bensin-at-2021-merah-iid-865195294,5
toyota yaris,285000000,toyota,yaris,2021,15.000-20.000,"Magelang Tengah, Magelang Kota, Jawa Tengah",car,https://www.olx.co.id/item/all-new-yaris-s-trd-2021-at-tgn-1-ad-original-iid-864658581,4
toyota yaris,285000000,toyota,yaris,2021,15.000-20.000,"Sleman, Sleman Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/all-new-yaris-s-trd-2021-automatic-tgn-1-original-iid-864658439,4
toyota yaris,260000000,toyota,yaris,2021,15.000-20.000,"Kelapa Dua, Tangerang Kab., Banten",car,https://www.olx.co.id/item/yaris-15-trd-at-2021-km-18rb-iid-866775813,4
toyota yaris,285000000,toyota,yaris,2021,10.000-15.000,"Purwokerto Barat, Banyumas Kab., Jawa Tengah",car,https://www.olx.co.id/item/toyota-all-new-yaris-gr-sport-15-at-2021-iid-864889849,3
toyota yaris,261000000,toyota,yaris,2021,10.000-15.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-15-trd-sportivo-metik-2021-km-11-ribuan-like-new-iid-865533106,3
toyota yaris,229000000,toyota,yaris,2021,10.000-15.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/dp53jt-km11rb-toyota-yaris-15-g-at-facelift-kuning-2021-iid-865925131,3
toyota yaris,229000000,toyota,yaris,2021,10.000-15.000,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-g-at-kuning-2021-km-11-ribu-record-resmi-iid-866287525,3
toyota yaris,229000000,toyota,yaris,2021,10.000-15.000,"Sawah Besar, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/km11rb-toyota-yaris-15-g-facelift-at-2021-kuning-record-iid-866006537,3
toyota yaris,229000000,toyota,yaris,2021,10.000-15.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/km11rb-toyota-yaris-15-g-at-facelift-2021-kuning-50th-anniversary--iid-866000380,3
toyota yaris,229000000,toyota,yaris,2021,10.000-15.000,"Gambir, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/km11rb-toyota-yaris-g-matic-kuning-2021-tangan-pertama-dari-baru-iid-865900592,3
toyota yaris,229000000,toyota,yaris,2021,10.000-15.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/km11rb-toyota-yaris-15-g-at-facelift-kuning-2021-iid-865894397,3
toyota yaris,229000000,toyota,yaris,2021,10.000-15.000,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-g-15-facelift-at-2021-kuning-iid-865839471,3
toyota yaris,275000000,toyota,yaris,2021,5.000-10.000,"Semarang Timur, Semarang Kota, Jawa Tengah",car,https://www.olx.co.id/item/new-yaris-gr-facelift-2021-toyota-yaris-trd-2020-jazz-rs-2019-iid-862143126,2
toyota yaris,275000000,toyota,yaris,2021,0-5.000,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-8rb-ori-tdp-35jt-toyota-yaris-s-trd-at-2021-tgn1-garansi-4-th-iid-866624922,1
