title,price,brand,type,transmission,milage,fuel,location,years,milage_class
toyota yaris,275000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,5.000-10.000,Bensin,"Telukjambe Timur, Karawang Kab., Jawa Barat",2021,2
toyota yaris,260000000,toyota,Lain-lain,Automatic,5.000-10.000,Bensin,"Bekasi Timur, Bekasi Kota, Jawa Barat",2021,2
toyota yaris,264000000,toyota,1.5 TRD Sportivo Bensin,Automatic,20.000-25.000,Bensin,"Candi, Sidoarjo  Kab., Jawa Timur",2021,5
toyota yaris,260000000,toyota,1.5 TRD Sportivo Heykers Bensin,Automatic,15.000-20.000,Bensin,"Kelapa Dua, Tangerang Kab., Banten",2021,4
toyota yaris,285000000,toyota,Lain-lain,Automatic Triptonic,10.000-15.000,Bensin,"Purwokerto Barat, Banyumas Kab., Jawa Tengah",2021,3
toyota yaris,252500000,toyota,1.5 TRD Sportivo Bensin,Manual,10.000-15.000,Bensin,"Astana Anyar, Bandung Kota, Jawa Barat",2021,3
toyota yaris,269000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,0-5.000,Bensin,"Karawang Barat, Karawang Kab., Jawa Barat",2021,1
toyota yaris,268000000,toyota,1.5 TRD Sportivo Bensin,Automatic,0-5.000,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",2021,1
toyota yaris,225000000,toyota,1.5 TRD Sportivo Bensin,Automatic,85.000-90.000,Bensin,"Kelapa Dua, Tangerang Kab., Banten",2020,18
toyota yaris,285000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,5.000-10.000,Bensin,"Magelang Selatan, Magelang Kota, Jawa Tengah",2020,2
toyota yaris,236500000,toyota,1.5 TRD Sportivo Bensin,Automatic,5.000-10.000,Bensin,"Pondok Aren, Tangerang Selatan Kota, Banten",2020,2
toyota yaris,232000000,toyota,1.5 TRD Sportivo Bensin,Manual,5.000-10.000,Bensin,"Balaraja, Tangerang Kab., Banten",2020,2
toyota yaris,268000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,20.000-25.000,Bensin,"Sukun, Malang Kota, Jawa Timur",2020,5
toyota yaris,246000000,toyota,1.5 TRD Sportivo Bensin,Automatic,20.000-25.000,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",2020,5
